network,autonomous_system_number,autonomous_system_organization
2a10:b540::/29,212144,"trafficforce, UAB"
2a10:b5c1::/32,60781,"LeaseWeb Netherlands B.V."
2a10:b600::/31,212241,"TF Tech NV"
2a10:b641::/36,211607,"Securitytrails, LLC"
2a10:b680::/32,44486,SYNLINQ
2a10:b880::/32,38965,HostIn
2a10:b940::/29,5524,"Signet B.V."
2a10:b9c0::/32,211623,"NAML B.V."
2a10:ba00:1::/48,16509,AMAZON-02
2a10:ba00:2::/47,16509,AMAZON-02
2a10:ba00:4::/46,16509,AMAZON-02
2a10:ba00:8::/47,16509,AMAZON-02
2a10:ba00:10::/47,16509,AMAZON-02
2a10:ba00:bee5::/48,16509,AMAZON-02
2a10:ba40::/32,199568,"DIRRA SAS"
2a10:ba87:fed0::/44,47152,FIBERSIX
2a10:ba87:feef::/48,208753,"Marco d'Angelo"
2a10:ba87:fef0::/44,47152,FIBERSIX
2a10:bac0::/32,39396,"NBI Systems Ltd."
2a10:bb00::/29,47864,"V-NET B.V."
2a10:bb40::/29,41050,"Openconnexio S.r.l."
2a10:bb80::/29,48456,FZCO
2a10:bbc0::/32,25234,"ACTIVE 24, s.r.o."
2a10:bc80::/29,212081,"Societe Corse De Distribution SAS"
2a10:bcc0::/29,211597,"Lit Fibre Group Ltd."
2a10:bd40::/29,215219,"Sub-Net e.U."
2a10:bd80::/29,212054,"ALL42 s.r.l."
2a10:be40::/32,216186,"Pen Test Partners LLP"
2a10:bec0::/32,207499,"ARCWARE GmbH"
2a10:bf00::/29,39391,"Sanos Consulting International Srl"
2a10:bf80::/29,43668,"as43668 LLC"
2a10:c080::/29,41960,"Nextpertise B.V."
2a10:c140::/29,211572,"Vrbovec Wireless"
2a10:c240::/32,201401,"NewVM B.V."
2a10:c280::/32,212059,"Testigos Cristianos De Jehova"
2a10:c300::/29,39629,"Lansoft Data Srl"
2a10:c340::/29,204916,"LLC Vpsville"
2a10:c4c0::/29,208124,"Negin Narmafzar Asak Research and Information Cooperative Company"
2a10:c540::/29,44070,"O2 Czech Republic, a.s."
2a10:c580::/29,212041,"Airmob Infra Full Sasu"
2a10:c5c0::/32,211547,"Cedgetec GmbH"
2a10:c5c1:1ab0::/48,211547,"Cedgetec GmbH"
2a10:c5c1:affe::/48,211547,"Cedgetec GmbH"
2a10:c5c1:beef::/48,211547,"Cedgetec GmbH"
2a10:c5c1:c0de::/48,211547,"Cedgetec GmbH"
2a10:c5c1:cafe::/48,211547,"Cedgetec GmbH"
2a10:c5c1:f016::/48,211547,"Cedgetec GmbH"
2a10:c5c1:f021::/48,211547,"Cedgetec GmbH"
2a10:c5c1:fab1::/48,211547,"Cedgetec GmbH"
2a10:c5c1:fabb::/48,211547,"Cedgetec GmbH"
2a10:c5c1:feed::/48,211547,"Cedgetec GmbH"
2a10:c704::/32,211858,"Pau Logiciels Libres Association (paulla)"
2a10:c740::/29,43872,"Optinet U.K. Limited"
2a10:c780::/29,212038,"ACTICO GmbH"
2a10:c7c0::/29,43872,"Optinet U.K. Limited"
2a10:c800::/47,56322,"ServerAstra Kft."
2a10:c800:400::/47,56322,"ServerAstra Kft."
2a10:c880::/32,212047,"Civo LTD"
2a10:c881::/32,211552,"Civo LTD"
2a10:c882::/32,210920,"Civo LTD"
2a10:c883::/32,60672,"ServerChoice Ltd"
2a10:c8c0::/29,43872,"Optinet U.K. Limited"
2a10:c900::/29,206176,"GreenEdge B.V."
2a10:c943::/32,214790,"Brainoza OU"
2a10:c944::/32,214790,"Brainoza OU"
2a10:c9c0::/29,43872,"Optinet U.K. Limited"
2a10:ca80::/48,198584,"PIO-Hosting GmbH"
2a10:cac0::/29,43872,"Optinet U.K. Limited"
2a10:cb40::/29,198328,"Trayport Limited"
2a10:cb80::/29,58273,"Broadband for the Rural North Limited."
2a10:cbc0::/31,212128,"LLC horizon"
2a10:cbc7::/32,212128,"LLC horizon"
2a10:cc40:116::/48,139989,"CV Atha Media Prima"
2a10:cc40:153::/48,209669,"Ashley Primo"
2a10:cc40:154::/48,209669,"Ashley Primo"
2a10:cc40:15f::/48,209669,"Ashley Primo"
2a10:cc40:160::/48,207650,"Koen De Wit"
2a10:cc40:180::/48,200890,"Jianfeng Ren"
2a10:cc40:186::/48,200890,"Jianfeng Ren"
2a10:cc40:188::/47,200890,"Jianfeng Ren"
2a10:cc40:1b0::/48,204882,"Denis Nolan"
2a10:cc40:1ba::/48,204882,"Denis Nolan"
2a10:cc40:210::/46,202340,"Sanoj Kumar"
2a10:cc40:214::/48,202340,"Sanoj Kumar"
2a10:cc40:216::/48,202340,"Sanoj Kumar"
2a10:cc44:110::/44,59922,"Marius Florian Dumitrascu"
2a10:cc44:1d0::/48,208454,"Jens Zimperfeld"
2a10:cc44:1da::/48,208454,"Jens Zimperfeld"
2a10:cc45:130::/44,58057,"Securebit AG"
2a10:ccc0:100::/44,200950,"Lyratris Limited"
2a10:ccc0:110::/44,216418,"Filippo Sacco Comis Dell'Oste"
2a10:ccc0:120::/43,211688,"Julius Wolff"
2a10:ccc0:142::/48,215296,"Raoul Brouns"
2a10:ccc0:144::/48,215296,"Raoul Brouns"
2a10:ccc0:150::/44,197477,Nerdscave
2a10:ccc0:cc1::/48,151202,"Suzhou Honoka Technology Co Ltd"
2a10:ccc0:cc2::/48,151202,"Suzhou Honoka Technology Co Ltd"
2a10:ccc0:ccc::/48,151202,"Suzhou Honoka Technology Co Ltd"
2a10:ccc0:d00::/47,211729,"Yiming Zhang"
2a10:ccc0:d03::/48,211729,"Yiming Zhang"
2a10:ccc0:1330::/44,210825,"Sebastian Pfeifer"
2a10:ccc0:8860::/44,212057,Nodescrape
2a10:ccc0:c0c2::/48,209556,"Benli Zhong"
2a10:ccc0:ccc0::/48,151194,"Zhu Yucheng"
2a10:ccc0:ccc6::/48,151194,"Zhu Yucheng"
2a10:ccc0:eee0::/44,213579,"Leon Hubrich"
2a10:ccc1:108::/48,268918,AS268918
2a10:ccc1:109::/48,272768,"DIEGO EMANUEL RIBEIRO NUNES"
2a10:ccc1:10a::/48,198234,"SOLFIKS INTERNET Hizmetleri ve Danismanlik Tic. Ltd. Sti."
2a10:ccc1:10c::/48,200371,"Bentley-Walker Limited"
2a10:ccc1:10e::/48,202706,"KeenSystems B.V."
2a10:ccc1:10f::/48,203748,"Enterprise Cloud Ltd."
2a10:ccc1:408::/48,202256,"Dongyu Zhang"
2a10:ccc1:421::/48,202256,"Dongyu Zhang"
2a10:ccc1:43a::/48,202256,"Dongyu Zhang"
2a10:ccc1:45b::/48,20473,AS-VULTR
2a10:ccc1:477::/48,20473,AS-VULTR
2a10:ccc1:48c::/48,202256,"Dongyu Zhang"
2a10:ccc1:578::/48,202256,"Dongyu Zhang"
2a10:ccc1:5a8::/48,202256,"Dongyu Zhang"
2a10:ccc1:1333::/48,200993,"Yanislav Basiuk"
2a10:ccc2:1330::/44,197477,Nerdscave
2a10:ccc3:ca74::/47,214513,"Raven Catherine Zameitat"
2a10:ccc3:ca76::/48,214513,"Raven Catherine Zameitat"
2a10:ccc3:cc30::/48,215795,"Antonios Damigos"
2a10:ccc3:cc33::/48,215795,"Antonios Damigos"
2a10:ccc4:101::/48,149977,"Securebit AG"
2a10:ccc4:2020::/44,59922,"Marius Florian Dumitrascu"
2a10:ccc5:5550::/48,214527,"Frederic Arroyo"
2a10:ccc5:5555::/48,214527,"Frederic Arroyo"
2a10:ccc6:100::/48,149977,"Securebit AG"
2a10:ccc6:6661::/48,214344,"Hanxun Xu"
2a10:ccc6:6662::/48,214344,"Hanxun Xu"
2a10:ccc6:66cc::/46,211729,"Yiming Zhang"
2a10:ccc6:ccc0::/44,21769,AS-COLOAM
2a10:ccc7:b110::/44,214497,"Whitelabel Solutions, Ltd."
2a10:cd00::/31,212321,"PC A La Carte Sasu"
2a10:cd02::/32,212321,"PC A La Carte Sasu"
2a10:cd80::/29,3320,"Deutsche Telekom AG"
2a10:ce00::/29,43885,"Instal Matel Sl"
2a10:ce40:200::/47,140224,NEBULA
2a10:ce40:231::/48,140224,NEBULA
2a10:ce40:232::/48,140224,NEBULA
2a10:ce40:250::/47,140224,NEBULA
2a10:ce40:252::/48,140224,NEBULA
2a10:cf00::/29,12651,"IP worldcom SA"
2a10:cf80:1000::/48,3240,"Styrelsen for it og laering"
2a10:cf80:1001::/48,31027,"GlobalConnect A/S"
2a10:cf80:2000::/48,3240,"Styrelsen for it og laering"
2a10:cf80:2001::/48,31027,"GlobalConnect A/S"
2a10:d000::/29,35506,"Information Society S.A."
2a10:d040::/29,51598,"Nehlsen AG"
2a10:d080::/29,212023,"University of Plovdiv Paisiy Hilendarski"
2a10:d100::/32,28919,"Stadtwerke Kufstein GmbH"
2a10:d181::/32,196952,"BEZVANET s.r.o."
2a10:d182::/32,58044,"free-zona s.r.o."
2a10:d200::/29,212323,"Daedalean AG"
2a10:d340:1::/48,203200,"ALPEIN Software SWISS AG"
2a10:d400::/29,62182,"Barrage d.o.o."
2a10:d440:1::/48,56798,"HIDORA SA"
2a10:d4c0::/29,211085,"mapnet IT services s.r.o."
2a10:d580::/29,51809,"BRSK Limited"
2a10:d640::/29,211309,"Obos Nett AS"
2a10:d680::/29,49282,"Ficolo Oy"
2a10:d700::/29,25160,"Vorboss Limited"
2a10:d780::/32,211997,"Eho.link SAS"
2a10:d840::/29,213359,"Jan Korinek"
2a10:d880::/29,211995,"A2Z Technologies CJSC"
2a10:d900::/32,215641,"Modell Aachen GmbH - Interaktive Managementsysteme"
2a10:da00::/32,34576,"Skane Lans Landsting"
2a10:dac0:96::/48,8075,MICROSOFT-CORP-MSN-AS-BLOCK
2a10:dac0:100::/48,50399,"Open Line BV"
2a10:dac0:102::/48,39686,"Eurofiber Nederland BV"
2a10:db40::/29,48817,"Prizz Telecom SAS"
2a10:dc00::/29,61193,"Guillaume ROBIER"
2a10:dd00::/31,202395,"Fiberaccessbolaget i Sverige AB"
2a10:dd02::/33,202395,"Fiberaccessbolaget i Sverige AB"
2a10:dd02:8000::/35,202395,"Fiberaccessbolaget i Sverige AB"
2a10:dd02:a000::/36,202395,"Fiberaccessbolaget i Sverige AB"
2a10:dd02:b000::/45,202395,"Fiberaccessbolaget i Sverige AB"
2a10:dd02:b008::/47,202395,"Fiberaccessbolaget i Sverige AB"
2a10:dd02:b00a::/48,202395,"Fiberaccessbolaget i Sverige AB"
2a10:dd02:b00b::/48,197430,"AxByte Internet Services AB"
2a10:dd02:b00c::/46,202395,"Fiberaccessbolaget i Sverige AB"
2a10:dd02:b010::/44,202395,"Fiberaccessbolaget i Sverige AB"
2a10:dd02:b020::/43,202395,"Fiberaccessbolaget i Sverige AB"
2a10:dd02:b040::/42,202395,"Fiberaccessbolaget i Sverige AB"
2a10:dd02:b080::/41,202395,"Fiberaccessbolaget i Sverige AB"
2a10:dd02:b100::/40,202395,"Fiberaccessbolaget i Sverige AB"
2a10:dd02:b200::/39,202395,"Fiberaccessbolaget i Sverige AB"
2a10:dd02:b400::/38,202395,"Fiberaccessbolaget i Sverige AB"
2a10:dd02:b800::/37,202395,"Fiberaccessbolaget i Sverige AB"
2a10:dd02:c000::/34,202395,"Fiberaccessbolaget i Sverige AB"
2a10:dd03::/32,202395,"Fiberaccessbolaget i Sverige AB"
2a10:dd04::/30,202395,"Fiberaccessbolaget i Sverige AB"
2a10:de80::/47,211993,"Soverin B.V."
2a10:de80:b101::/48,211993,"Soverin B.V."
2a10:de80:b12a::/48,211993,"Soverin B.V."
2a10:de80:b12c::/48,211993,"Soverin B.V."
2a10:df40::/29,211458,"Ih-network Shpk"
2a10:df80::/29,60274,"EDV Consulting Zoichter GmbH"
2a10:e000:1::/48,210909,"Tutao GmbH"
2a10:e080::/32,216140,"Join Stock Company Serenity Platforms"
2a10:e140::/32,12779,"IT.Gate S.p.A."
2a10:e2c0::/29,211441,"Byfitel Comunicaciones Sl"
2a10:e300::/43,51517,"Arend Brouwer"
2a10:e300:20::/44,44854,"Arend Brouwer"
2a10:e300:30::/44,51517,"Arend Brouwer"
2a10:e300:40::/42,51517,"Arend Brouwer"
2a10:e300:80::/41,51517,"Arend Brouwer"
2a10:e300:100::/40,51517,"Arend Brouwer"
2a10:e300:200::/39,51517,"Arend Brouwer"
2a10:e300:400::/38,51517,"Arend Brouwer"
2a10:e300:800::/37,51517,"Arend Brouwer"
2a10:e300:1000::/36,51517,"Arend Brouwer"
2a10:e300:2000::/35,51517,"Arend Brouwer"
2a10:e300:4000::/34,51517,"Arend Brouwer"
2a10:e300:8000::/34,51517,"Arend Brouwer"
2a10:e300:c000::/35,51517,"Arend Brouwer"
2a10:e300:e000::/36,51517,"Arend Brouwer"
2a10:e300:f000::/37,51517,"Arend Brouwer"
2a10:e300:f800::/38,51517,"Arend Brouwer"
2a10:e300:fc00::/39,51517,"Arend Brouwer"
2a10:e300:fe00::/40,51517,"Arend Brouwer"
2a10:e300:ff00::/41,51517,"Arend Brouwer"
2a10:e300:ff80::/42,51517,"Arend Brouwer"
2a10:e300:ffc0::/43,51517,"Arend Brouwer"
2a10:e300:ffe0::/44,51517,"Arend Brouwer"
2a10:e300:fff0::/47,215877,"Erwin Alexander Ising"
2a10:e300:fff2::/47,51517,"Arend Brouwer"
2a10:e300:fff4::/46,51517,"Arend Brouwer"
2a10:e300:fff8::/45,51517,"Arend Brouwer"
2a10:e340::/32,211450,"Spider Dooel Gevgelija"
2a10:e380::/32,29066,"velia.net Internetdienste GmbH"
2a10:e400::/29,39810,"The national operator of wireless communication WiMAX-Ukraine"
2a10:e440::/32,50293,"Interfiber Networks LDA"
2a10:e480::/29,211569,"naturenergie holding AG"
2a10:e5c0::/48,58349,"INNETRA PC"
2a10:e780::/40,212027,"PebbleHost Ltd"
2a10:e800:1::/48,28885,"Oman Telecommunications Company (S.A.O.G)"
2a10:e800:3::/48,204170,"Awaser Oman LLC"
2a10:e840:1::/64,211416,"Tawasal Information Technology LLC"
2a10:eb80::/29,8772,"NetAssist LLC"
2a10:ed00::/29,212297,"Serviceware SE"
2a10:ed40::/46,204104,"Giti Secure Cloud LLC"
2a10:ed40:4::/47,204104,"Giti Secure Cloud LLC"
2a10:ed40:6::/48,204104,"Giti Secure Cloud LLC"
2a10:ed40:7::/48,214957,"Nahor Hadish Design and Architecture Co., Ltd"
2a10:ed40:8::/48,214078,"Amir Mohammad Zarifi"
2a10:ed40:9::/48,204104,"Giti Secure Cloud LLC"
2a10:ee00::/32,212401,"The Religious Center Of Jehovahs Witnesses In Ukraine"
2a10:ee40::/29,6424,"Edgoo Networks Unipessoal Lda"
2a10:eec0::/45,7342,VERISIGN-AS
2a10:eec0:8::/47,7342,VERISIGN-AS
2a10:eec0:a::/48,7342,VERISIGN-AS
2a10:eec0:b::/48,396828,VRSN-AC50-340
2a10:eec0:c::/48,7342,VERISIGN-AS
2a10:ef04:1002::/48,213069,"Maya Pardazesh Iranian LLC"
2a10:ef04:1003::/48,47376,"Web Gostaran Bandar Company (PJS)"
2a10:ef40::/29,212559,"Lumia Network Srl"
2a10:f000::/48,48062,"INVERS GmbH"
2a10:f2c0::/29,207003,"Web1 Oy"
2a10:f300::/29,8801,"Rocket Fibre Ltd"
2a10:f3c0:ffff::/48,212466,"Allot LTD"
2a10:f4c0::/29,210722,"Oy Turku Energia Abo Energi AB"
2a10:f540::/29,15600,"Quickline AG"
2a10:f6c0::/29,198236,"Bilyoner Interaktif Hizmetler Anonim Sirketi"
2a10:f780:fffe::/48,197961,"Stowarzyszenie e-Poludnie"
2a10:f782::/48,197961,"Stowarzyszenie e-Poludnie"
2a10:f783::/48,50607,"Stowarzyszenie e-Poludnie"
2a10:f783:1::/48,201054,"Stowarzyszenie e-Poludnie"
2a10:f783:2::/48,201925,"Stowarzyszenie e-Poludnie"
2a10:f783:22::/48,197961,"Stowarzyszenie e-Poludnie"
2a10:f7c0::/29,51075,"Innotip SAS"
2a10:f8c0::/29,8387,"Deutsche Telekom Global Business Solutions GmbH"
2a10:f900::/29,214328,"IP SERVICES Sp. zo.o."
2a10:f9c0::/48,202365,"Omer GOLGELI"
2a10:f9c0:1::/48,44841,"Egressif LLC"
2a10:f9c0:2::/47,44841,"Egressif LLC"
2a10:f9c0:4::/46,44841,"Egressif LLC"
2a10:f9c0:8::/45,44841,"Egressif LLC"
2a10:f9c0:10::/44,44841,"Egressif LLC"
2a10:f9c0:20::/43,44841,"Egressif LLC"
2a10:f9c0:40::/42,44841,"Egressif LLC"
2a10:f9c0:80::/41,44841,"Egressif LLC"
2a10:f9c0:100::/40,44841,"Egressif LLC"
2a10:f9c0:200::/39,44841,"Egressif LLC"
2a10:f9c0:400::/38,44841,"Egressif LLC"
2a10:f9c0:800::/37,44841,"Egressif LLC"
2a10:f9c0:1000::/36,44841,"Egressif LLC"
2a10:f9c0:2000::/35,44841,"Egressif LLC"
2a10:f9c0:4000::/34,44841,"Egressif LLC"
2a10:f9c0:8000::/33,44841,"Egressif LLC"
2a10:f9c1::/32,44841,"Egressif LLC"
2a10:f9c2::/31,44841,"Egressif LLC"
2a10:f9c4::/30,44841,"Egressif LLC"
2a10:fa00::/29,52193,"Eurocontact Veliky Novgorod LLC"
2a10:fa41::/32,211181,"Civilisation Information Technology, communication and internet services Co., LTD"
2a10:fa44::/48,20940,"Akamai International B.V."
2a10:fa45::/32,212330,"Civilisation Information Technology, communication and internet services Co., LTD"
2a10:fa80:10::/48,57050,"DreamServer S.R.L."
2a10:fa80:56::/47,57050,"DreamServer S.R.L."
2a10:fa80:58::/47,57050,"DreamServer S.R.L."
2a10:fa81:1::/48,48878,"Greathost Web Srl"
2a10:fa82:8000::/43,213449,"Jann-Ole Wagenaar"
2a10:fa82:8020::/44,213449,"Jann-Ole Wagenaar"
2a10:fa82:c000::/36,211281,"Neohost Srl"
2a10:fa82:fa00::/39,205941,"Lungu Stefan Gabriel"
2a10:fa82:fc00::/38,205941,"Lungu Stefan Gabriel"
2a10:fb40::/32,3209,"Vodafone GmbH"
2a10:fc40::/29,57777,"Jeroen Massar"
2a10:fc80::/29,47447,"23M GmbH"
2a10:fcc0::/29,62336,"PURtel.com GmbH"
2a10:fd00::/32,210973,"DATAMATIX Datensysteme GmbH"
2a10:fe00::/32,208560,"Sepehr Net Iranian Pjsc"
2a10:fe40::/29,202360,"The Global Fund to fight AIDS, Tuberculosis and Malaria"
2a11::/48,24013,"SB Professional Services"
2a11:2::/32,44103,"The Mastermind Holding B.V."
2a11:3::/38,8888,"xTom Pty Ltd"
2a11:3:400::/40,8888,"xTom Pty Ltd"
2a11:3:500::/40,43357,"Owl Limited"
2a11:3:600::/39,8888,"xTom Pty Ltd"
2a11:3:800::/37,8888,"xTom Pty Ltd"
2a11:3:1000::/36,8888,"xTom Pty Ltd"
2a11:3:2000::/35,8888,"xTom Pty Ltd"
2a11:3:4000::/34,8888,"xTom Pty Ltd"
2a11:3:8000::/33,8888,"xTom Pty Ltd"
2a11:4::/30,8888,"xTom Pty Ltd"
2a11:40::/29,400177,RC
2a11:100::/29,202416,"Kart Technologies Limited"
2a11:180::/29,212714,"Canal Pozuelo S.L."
2a11:200:3000::/36,204916,"LLC Vpsville"
2a11:200:5000::/36,204916,"LLC Vpsville"
2a11:206::/32,204916,"LLC Vpsville"
2a11:280::/29,52164,"WE-NET S.r.l."
2a11:2c0::/29,210627,"Grayshott Gigabit Limited"
2a11:340::/29,48456,FZCO
2a11:380::/29,211319,"zafaco GmbH"
2a11:480::/29,41006,"RWD PROSPECT sp.z o.o."
2a11:4c0::/47,211632,"Internet Solutions & Innovations LTD."
2a11:4c0:5::/48,211059,"Tribeka Web Advisors S.A."
2a11:540::/30,210966,"Data Center Solutions Kft."
2a11:580::/29,62206,"Pitline Ltd"
2a11:600:150::/47,48732,"Martial Duboc"
2a11:601:d000::/36,48732,"Martial Duboc"
2a11:601:f000::/36,48732,"Martial Duboc"
2a11:640::/31,42375,"iNet Ltd"
2a11:642::/32,42375,"iNet Ltd"
2a11:646::/32,42375,"iNet Ltd"
2a11:680::/29,204916,"LLC Vpsville"
2a11:6c0::/30,211083,"ServerGurus UG"
2a11:6c4::/31,211083,"ServerGurus UG"
2a11:6c6:1000::/36,210916,"Freifunk im Ennepe-Ruhr-Kreis e.V."
2a11:6c6:2000::/35,210916,"Freifunk im Ennepe-Ruhr-Kreis e.V."
2a11:6c6:4000::/34,210916,"Freifunk im Ennepe-Ruhr-Kreis e.V."
2a11:6c6:8000::/36,210916,"Freifunk im Ennepe-Ruhr-Kreis e.V."
2a11:6c7::/45,212895,"Johannes Ernst"
2a11:6c7:8::/46,212895,"Johannes Ernst"
2a11:6c7:c::/48,212895,"Johannes Ernst"
2a11:6c7:11::/48,212895,"Johannes Ernst"
2a11:6c7:12::/47,212895,"Johannes Ernst"
2a11:6c7:14::/48,212895,"Johannes Ernst"
2a11:6c7:17::/48,212895,"Johannes Ernst"
2a11:6c7:18::/48,212895,"Johannes Ernst"
2a11:6c7:20::/47,212895,"Johannes Ernst"
2a11:6c7:f00::/47,212895,"Johannes Ernst"
2a11:6c7:f03::/48,212895,"Johannes Ernst"
2a11:6c7:f04::/46,212895,"Johannes Ernst"
2a11:6c7:f09::/48,212895,"Johannes Ernst"
2a11:6c7:f10::/46,212895,"Johannes Ernst"
2a11:6c7:f16::/47,212895,"Johannes Ernst"
2a11:6c7:f22::/47,212895,"Johannes Ernst"
2a11:6c7:f24::/46,212895,"Johannes Ernst"
2a11:6c7:f30::/46,212895,"Johannes Ernst"
2a11:6c7:f34::/47,212895,"Johannes Ernst"
2a11:6c7:1100::/40,212895,"Johannes Ernst"
2a11:6c7:1200::/40,212895,"Johannes Ernst"
2a11:6c7:1400::/40,212895,"Johannes Ernst"
2a11:6c7:1600::/39,212895,"Johannes Ernst"
2a11:6c7:1800::/40,212895,"Johannes Ernst"
2a11:6c7:1e01::/48,212895,"Johannes Ernst"
2a11:6c7:2000::/40,212895,"Johannes Ernst"
2a11:6c7:2200::/39,212895,"Johannes Ernst"
2a11:6c7:2500::/40,212895,"Johannes Ernst"
2a11:6c7:2600::/40,212895,"Johannes Ernst"
2a11:6c7:3000::/40,212895,"Johannes Ernst"
2a11:780:4000::/35,204916,"LLC Vpsville"
2a11:780:7000::/36,204916,"LLC Vpsville"
2a11:7c0::/29,211084,"Rf Com S.r.l."
2a11:800::/29,208537,"M3 Groep BV"
2a11:840:1::/48,136258,"BrainStorm Network, Inc"
2a11:840:2::/48,9009,"M247 Europe SRL"
2a11:840:3::/48,136258,"BrainStorm Network, Inc"
2a11:840:4::/46,136258,"BrainStorm Network, Inc"
2a11:840:8::/47,136258,"BrainStorm Network, Inc"
2a11:840:10::/46,136258,"BrainStorm Network, Inc"
2a11:840:14::/48,136258,"BrainStorm Network, Inc"
2a11:840:16::/47,136258,"BrainStorm Network, Inc"
2a11:840:18::/47,136258,"BrainStorm Network, Inc"
2a11:840:21::/48,136258,"BrainStorm Network, Inc"
2a11:840:22::/47,136258,"BrainStorm Network, Inc"
2a11:840:25::/48,136258,"BrainStorm Network, Inc"
2a11:840:26::/48,136258,"BrainStorm Network, Inc"
2a11:840:27::/48,30900,WebWorld
2a11:840:28::/48,136258,"BrainStorm Network, Inc"
2a11:840:29::/48,52423,"Data Miners S.A. Racknation.cr"
2a11:840:30::/48,35758,"Rachamim Aviel Twito"
2a11:840:31::/48,11831,ESECUREDATA
2a11:840:32::/48,37153,xneelo
2a11:840:33::/48,136258,"BrainStorm Network, Inc"
2a11:840:36::/48,46475,LIMESTONENETWORKS
2a11:840:40::/46,136258,"BrainStorm Network, Inc"
2a11:840:44::/47,136258,"BrainStorm Network, Inc"
2a11:840:46::/48,133752,"LEASEWEB HONG KONG LIMITED"
2a11:840:47::/48,136258,"BrainStorm Network, Inc"
2a11:840:48::/48,136258,"BrainStorm Network, Inc"
2a11:840:50::/47,136258,"BrainStorm Network, Inc"
2a11:840:53::/48,136258,"BrainStorm Network, Inc"
2a11:840:54::/46,136258,"BrainStorm Network, Inc"
2a11:840:58::/48,62563,AS-GLOBALTELEHOST
2a11:840:59::/48,136258,"BrainStorm Network, Inc"
2a11:840:60::/45,136258,"BrainStorm Network, Inc"
2a11:840:68::/47,136258,"BrainStorm Network, Inc"
2a11:840:70::/45,136258,"BrainStorm Network, Inc"
2a11:940::/29,209828,"Genc BT Bilisim Teknolojileri Limited Sirketi"
2a11:980::/29,204916,"LLC Vpsville"
2a11:9c0::/32,211075,"Zweckverband fuer Rettungsdienst und Feuerwehralarmierung Saar"
2a11:a00::/29,213027,"infra.run Service GmbH"
2a11:ac7:11::/48,205627,"Daimler Truck AG"
2a11:ac7:21::/48,205627,"Daimler Truck AG"
2a11:ac7:22::/48,205627,"Daimler Truck AG"
2a11:ac7:31::/48,205627,"Daimler Truck AG"
2a11:ac7:32::/48,205627,"Daimler Truck AG"
2a11:b00::/29,208959,"SlashN Services Pte. Ltd."
2a11:b85::/32,12389,Rostelecom
2a11:c00::/29,6424,"Edgoo Networks Unipessoal Lda"
2a11:c80:5000::/36,204916,"LLC Vpsville"
2a11:c80:6000::/35,204916,"LLC Vpsville"
2a11:d00::/32,8881,"1&1 Versatel GmbH"
2a11:d80:7000::/36,204916,"LLC Vpsville"
2a11:d80:8000::/36,204916,"LLC Vpsville"
2a11:e80::/29,204916,"LLC Vpsville"
2a11:f40::/29,211009,"Kazyanin Andrei Anatolevich"
2a11:fc0::/29,210767,"Link Host Ltd."
2a11:1140::/29,6079,RCN-AS
2a11:11c0::/29,56485,"TheHost LLC"
2a11:1200::/29,7029,WINDSTREAM
2a11:1280::/32,56485,"TheHost LLC"
2a11:12c0::/29,25548,"Telecom LLP"
2a11:1300::/29,60262,"Panq B.V."
2a11:1340::/31,42375,"iNet Ltd"
2a11:1342::/32,42375,"iNet Ltd"
2a11:1380::/29,205828,"Vyshegorodtseva Alla Alekseevna"
2a11:13c0::/29,203486,"Palvelinpuisto Oy"
2a11:1400:1000::/48,215553,"Stichting VaartFiber"
2a11:1400:2000::/48,214668,"AxusHost B.V."
2a11:1400:3000::/48,213619,Tinux-IT
2a11:1400:4001::/48,209267,"Velorum B.V."
2a11:1400:5000::/47,214783,DedicatedNodes
2a11:1480::/29,42375,"iNet Ltd"
2a11:1540::/29,205866,"Vyshegorodtsev Roman Valerevich"
2a11:15c0::/32,42375,"iNet Ltd"
2a11:15c1::/32,204490,"Kontel LLC"
2a11:15c2::/31,42375,"iNet Ltd"
2a11:1640::/29,206174,"Kasperovich Konstantin Mikhailovich"
2a11:1680:1::/48,42151,"LLC p24-service"
2a11:1680:2::/48,42151,"LLC p24-service"
2a11:1780::/29,42375,"iNet Ltd"
2a11:17c0::/29,34567,"Next Limited"
2a11:1800::/29,201364,"Teknoboss Teknoloji Ve Danismanlik Hizmetleri Limited Sirketi"
2a11:1840::/32,42375,"iNet Ltd"
2a11:1843::/32,42375,"iNet Ltd"
2a11:1844::/32,42375,"iNet Ltd"
2a11:1880::/29,197992,"Defsolution LLC"
2a11:1940::/32,43581,"Ztv Corp LLC"
2a11:1a80::/29,211009,"Kazyanin Andrei Anatolevich"
2a11:1ac0::/29,60262,"Panq B.V."
2a11:1b00::/29,210967,"indasys IT Systemhaus AG"
2a11:1b80::/29,48456,FZCO
2a11:1c40::/29,60781,"LeaseWeb Netherlands B.V."
2a11:1c80::/29,34567,"Next Limited"
2a11:1cc0::/29,48456,FZCO
2a11:1d00::/29,210983,"Digris AG"
2a11:1d40::/48,210937,"Xiufeng Guo"
2a11:1d42::/48,210937,"Xiufeng Guo"
2a11:1e40:5aa5::/48,200393,"Klett IT GmbH"
2a11:1e40:ba5e::/48,209257,"Klett IT GmbH"
2a11:1ec0::/29,209828,"Genc BT Bilisim Teknolojileri Limited Sirketi"
2a11:1f00::/29,42375,"iNet Ltd"
